name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan,successful_transfer
Carlos Izquierdoz,Centre-Back,33,3,Argentina,Liga Profesional,CA Boca Juniors,Spain,LaLiga2,Sporting Gijón,0,FALSE,0
In-beom Hwang,Central Midfield,25,3,Russia,1.Division,Rubin Kazan,"Korea, South",K League 1,FC Seoul,0,TRUE,0
In-beom Hwang,Central Midfield,25,3,Russia,1.Division,Rubin Kazan,Greece,Super League 1,Olympiacos Piraeus,0,FALSE,0
Mario Gaspar,Right-Back,31,3,Spain,LaLiga,Villarreal CF,England,Championship,Watford FC,0,FALSE,1
Jacob Rasmussen,Centre-Back,25,3,Italy,Serie A,ACF Fiorentina,Netherlands,Eredivisie,Feyenoord Rotterdam,0,TRUE,0
Tyler Morton,Central Midfield,19,3,England,Premier League 2,Liverpool FC U21,England,Championship,Blackburn Rovers,0,TRUE,1
Aaron Ramsey,Central Midfield,31,3,Italy,Serie A,Juventus FC,France,Ligue 1,OGC Nice,0,FALSE,1
Gabriel Slonina,Goalkeeper,18,3,England,Premier League,Chelsea FC,United States,MLS,Chicago Fire FC,0,TRUE,0
Bersant Celina,Attacking Midfield,25,3,France,Ligue 2,Dijon FCO,Turkey,Süper Lig,Kasimpasa,0,TRUE,0
Sergio Camello,Centre-Forward,21,3,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Rayo Vallecano,0,TRUE,0
Nahuel Bustos,Centre-Forward,24,3,England,Premier League,Manchester City,Brazil,Série A,São Paulo Futebol Clube,0,TRUE,0
Gonçalo Paciência,Centre-Forward,28,3,Germany,Bundesliga,Eintracht Frankfurt,Spain,LaLiga,Celta de Vigo,0,FALSE,0
Óscar Melendo,Attacking Midfield,24,3,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga2,Granada CF,0,FALSE,0
Sam Lammers,Centre-Forward,25,3,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,0,TRUE,0
Neto,Goalkeeper,33,3,Spain,LaLiga,FC Barcelona,England,Premier League,AFC Bournemouth,0,FALSE,0
Gabriel Boschilia,Attacking Midfield,26,3,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,0,FALSE,0
Ally Samatta,Centre-Forward,29,3,Turkey,Süper Lig,Fenerbahce,Belgium,Jupiler Pro League,KRC Genk,0,TRUE,0
Michael Estrada,Centre-Forward,26,3,Mexico,Liga MX Apertura,Deportivo Toluca,Mexico,Liga MX Apertura,CD Cruz Azul,0,TRUE,0
Jean Marcelin,Centre-Back,22,3,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,Cercle Brugge,0,TRUE,0
Romário Baró,Central Midfield,22,3,Portugal,Liga Portugal,FC Porto,Portugal,Liga Portugal,Casa Pia AC,0,TRUE,0
Mario González,Centre-Forward,26,3,Portugal,Liga Portugal,SC Braga,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0,TRUE,0
Gabriel Vidovic,Attacking Midfield,18,3,Germany,Bundesliga,Bayern Munich,Netherlands,Eredivisie,Vitesse Arnhem,0,TRUE,0
Yvan Neyou,Defensive Midfield,25,3,France,Ligue 2,AS Saint-Étienne,Spain,LaLiga2,CD Leganés,0,TRUE,0
Edouard Michut,Attacking Midfield,19,3,France,Ligue 1,Paris Saint-Germain,England,Championship,Sunderland AFC,0,TRUE,0
Joe Bryan,Left-Back,28,3,England,Premier League,Fulham FC,France,Ligue 1,OGC Nice,0,TRUE,1
Kristoffer Olsson,Central Midfield,27,3,Belgium,Jupiler Pro League,RSC Anderlecht,Denmark,Superligaen,FC Midtjylland,0,TRUE,0
Wahid Faghir,Centre-Forward,19,3,Germany,Bundesliga,VfB Stuttgart,Denmark,Superligaen,FC Nordsjaelland,0,TRUE,0
Halil Dervisoglu,Centre-Forward,22,3,England,Premier League,Brentford FC,England,Championship,Burnley FC,0,TRUE,0
Hernani,Central Midfield,-,3,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,0,TRUE,0
Hernani,Central Midfield,28,3,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,0,TRUE,0
Ignacio Pussetto,Right Winger,26,3,England,Championship,Watford FC,Italy,Serie A,UC Sampdoria,0,TRUE,1
Manu Vallejo,Left Winger,25,3,Spain,LaLiga,Valencia CF,Spain,LaLiga,Girona FC,0,FALSE,0
Michal Helik,Centre-Back,26,3,England,League One,Barnsley FC,England,Championship,Huddersfield Town,0,FALSE,0
Marcelo,Left-Back,34,3,Spain,LaLiga,Real Madrid,Greece,Super League 1,Olympiacos Piraeus,0,FALSE,0
Scott Twine,Attacking Midfield,22,0,England,League One,Milton Keynes Dons,England,Championship,Burnley FC,2.9,FALSE,0
Marcelo Allende,Attacking Midfield,23,1.6,Uruguay,Primera División,Montevideo City Torque,South Africa,DStv Premiership,Mamelodi Sundowns FC,2.9,FALSE,0
Merlin Röhl,Central Midfield,20,0.8,Germany,3. Liga,FC Ingolstadt 04,Germany,Bundesliga,SC Freiburg,2.9,FALSE,1
Alex Teixeira,Attacking Midfield,32,2.9,Turkey,Süper Lig,Besiktas JK,Brazil,Série B,Club de Regatas Vasco da Gama,0,FALSE,0
Byron Castillo,Right-Back,23,2.8,Ecuador,Serie A Segunda Etapa,Barcelona SC Guayaquil,Mexico,Liga MX Apertura,Club León FC,2.85,FALSE,0
Joao Rojas,Left Winger,24,2,Ecuador,Serie A Segunda Etapa,CS Emelec,Mexico,Liga MX Apertura,CF Monterrey,2.85,FALSE,0
Luca Pfeiffer,Centre-Forward,25,2,Denmark,Superligaen,FC Midtjylland,Germany,Bundesliga,VfB Stuttgart,2.85,FALSE,1
Mario Balotelli,Centre-Forward,32,2.8,Turkey,Süper Lig,Adana Demirspor,Switzerland,Super League,FC Sion,2.62,FALSE,0
Gustavo Henrique,Centre-Back,29,2.8,Brazil,Série A,Clube de Regatas do Flamengo,Turkey,Süper Lig,Fenerbahce,1.4,TRUE,0
Raúl Moro,Left Winger,19,2.8,Italy,Serie A,SS Lazio,Italy,Serie B,Ternana Calcio,0.33,TRUE,0
Carel Eiting,Defensive Midfield,24,2.8,England,Championship,Huddersfield Town,Netherlands,Eredivisie,FC Volendam,0,FALSE,0
Ilzat Akhmetov,Attacking Midfield,24,2.8,Russia,Premier Liga,CSKA Moscow,Russia,Premier Liga,FK Krasnodar,0,FALSE,0
Yvon Mvogo,Goalkeeper,28,2.8,Germany,Bundesliga,RB Leipzig,France,Ligue 1,FC Lorient,0,FALSE,0
Juan Ignacio Méndez,Central Midfield,25,2.8,Argentina,Liga Profesional,Club Atlético Talleres,Argentina,Liga Profesional,CA San Lorenzo de Almagro,0,FALSE,0
Sam Larsson,Left Winger,29,2.8,China,Super League,Dalian Professional,Turkey,Süper Lig,Antalyaspor,0,FALSE,0
Lautaro Morales,Goalkeeper,22,2.8,Argentina,Liga Profesional,Club Atlético Lanús,Argentina,Liga Profesional,CA Newell's Old Boys,0,TRUE,0
Sean Klaiber,Right-Back,28,2.8,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,FC Utrecht,0,FALSE,0
Panagiotis Retsos,Centre-Back,24,2.8,Italy,Serie A,Hellas Verona,Greece,Super League 1,Olympiacos Piraeus,0,TRUE,0
Fabio Depaoli,Right-Back,25,2.8,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,0,TRUE,1
Armando Izzo,Centre-Back,30,2.8,Italy,Serie A,Torino FC,Italy,Serie A,AC Monza,0,TRUE,0
Mikael,Centre-Forward,23,2,Brazil,Série B,Sport Club do Recife,Italy,Serie A,US Salernitana 1919,2.73,FALSE,1
Achraf Dari,Centre-Back,23,1.8,Morocco,Botola Pro Inwi,Wydad Casablanca,France,Ligue 1,Stade Brestois 29,2.7,FALSE,0
Yoann Cathline,Left Winger,20,0.4,France,Ligue 2,EA Guingamp,France,Ligue 1,FC Lorient,2.7,FALSE,0
Assan Ceesay,Centre-Forward,28,2.7,Switzerland,Super League,FC Zürich,Italy,Serie A,US Lecce,0,FALSE,0
Sofiane Hanni,Attacking Midfield,31,2.7,Qatar,Stars League,Al-Gharafa SC,Qatar,Stars League,Al-Ahli SC,0,FALSE,0
Fousseni Diabaté,Right Winger,26,2.7,Turkey,Süper Lig,Trabzonspor,Serbia,Super liga Srbije,FK Partizan Belgrade,0,FALSE,0
Leonardo Mancuso,Centre-Forward,30,2.7,Italy,Serie A,AC Monza,Italy,Serie B,Como 1907,0,TRUE,0
Emmanuel Agbadou,Centre-Back,25,2.5,Belgium,Jupiler Pro League,KAS Eupen,France,Ligue 1,Stade Reims,2.6,FALSE,1
Borja Garcés,Centre-Forward,22,2.6,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Tenerife,0,TRUE,0
Ben Davies,Centre-Back,26,2.5,England,Premier League,Liverpool FC,Scotland,Premiership,Rangers FC,4.7,FALSE,0
Marko Rakonjac,Centre-Forward,22,1.5,Serbia,Super liga Srbije,FK Cukaricki,Russia,Premier Liga,Lokomotiv Moscow,2.5,FALSE,0
Tiago Volpi,Goalkeeper,31,2.5,Brazil,Série A,São Paulo Futebol Clube,Mexico,Liga MX Apertura,Deportivo Toluca,2.5,FALSE,0
Filip Ugrinic,Left Midfield,23,2.5,Switzerland,Super League,FC Luzern,Switzerland,Super League,BSC Young Boys,2.5,FALSE,0
Pedro Pereira,Right-Back,24,2.3,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AC Monza,2.5,FALSE,0
Robert Ljubicic,Central Midfield,22,2.5,Austria,Bundesliga,Rapid Vienna,Croatia,SuperSport HNL,GNK Dinamo Zagreb,2.5,FALSE,0
Kilian Fischer,Right-Back,21,2,Germany,2. Bundesliga,1.FC Nuremberg,Germany,Bundesliga,VfL Wolfsburg,2.5,FALSE,1
Zian Flemming,Attacking Midfield,23,2,Netherlands,Eredivisie,Fortuna Sittard,England,Championship,Millwall FC,2.5,FALSE,0
Thijs Dallinga,Centre-Forward,21,1.1,Netherlands,Eredivisie,Excelsior Rotterdam,France,Ligue 1,FC Toulouse,2.5,FALSE,0
Diego Valencia,Centre-Forward,22,0.9,Chile,Primera División,CD Universidad Católica,Italy,Serie A,US Salernitana 1919,2.5,FALSE,1
Mickaël Biron,Centre-Forward,24,0.9,Belgium,Jupiler Pro League,KV Oostende,Belgium,Challenger Pro League,RWD Molenbeek,2.5,FALSE,0
Víctor Méndez,Defensive Midfield,22,2.3,Chile,Primera División,Unión Española,Russia,Premier Liga,CSKA Moscow,2.5,FALSE,0
Alex Santana,Central Midfield,27,2,Bulgaria,efbet Liga,Ludogorets Razgrad,Brazil,Série A,Club Athletico Paranaense,2.5,FALSE,0
Joel Pohjanpalo,Centre-Forward,27,2.5,Germany,Bundesliga,Bayer 04 Leverkusen,Italy,Serie B,Venezia FC,2.5,FALSE,1
Harry Toffolo,Left-Back,26,2.5,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,2.4,FALSE,0
Mauro Laínez,Left Winger,26,2.5,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,FC Juárez,2.36,FALSE,0
Marcus Ingvartsen,Centre-Forward,26,2.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,1.FSV Mainz 05,2.3,FALSE,0
William Böving,Left Winger,19,2.5,Denmark,Superligaen,FC Copenhagen,Austria,Bundesliga,SK Sturm Graz,2.2,FALSE,0
Thomas Ouwejan,Left-Back,25,2.5,Netherlands,Eredivisie,AZ Alkmaar,Germany,Bundesliga,FC Schalke 04,2,FALSE,0
Gianluca Lapadula,Centre-Forward,32,2.5,Italy,Serie B,Benevento Calcio,Italy,Serie B,Cagliari Calcio,2,FALSE,1
