name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan,successful_transfer
Mahlon Romeo,Right-Back,26,2,England,Championship,Millwall FC,Wales,Championship,Cardiff City,0,FALSE,TRUE
Jake Clarke-Salter,Centre-Back,24,2,England,Premier League,Chelsea FC,England,Championship,Queens Park Rangers,0,FALSE,FALSE
Jürgen Locadia,Centre-Forward,28,2,Germany,Bundesliga,VfL Bochum,Iran,Persian Gulf Pro League,Persepolis FC,0,FALSE,FALSE
Jemerson,Centre-Back,29,2,,Without League,Without Club,Brazil,Série A,Clube Atlético Mineiro,0,FALSE,FALSE
Cauley Woodrow,Centre-Forward,27,2,England,League One,Barnsley FC,England,Championship,Luton Town,0,FALSE,FALSE
Will Vaulks,Defensive Midfield,28,2,Wales,Championship,Cardiff City,England,League One,Sheffield Wednesday,0,FALSE,FALSE
Ole Selnaes,Defensive Midfield,27,2,China,Super League,Shenzhen FC,Switzerland,Super League,FC Zürich,0,FALSE,FALSE
Juan Brunetta,Attacking Midfield,25,2,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Mexico,Liga MX Apertura,Santos Laguna,0,TRUE,FALSE
Zeki Amdouni,Centre-Forward,21,2,Switzerland,Challenge League,FC Lausanne-Sport,Switzerland,Super League,FC Basel 1893,0,TRUE,FALSE
Gianluca Frabotta,Left-Back,23,2,Italy,Serie A,Juventus FC,Italy,Serie A,US Lecce,0,TRUE,FALSE
João Carlos Teixeira,Attacking Midfield,29,2,Portugal,Liga Portugal,FC Famalicão,Qatar,Stars League,Umm Salal SC,0,FALSE,FALSE
Roberto López,Attacking Midfield,22,2,Spain,LaLiga,Real Sociedad,Spain,LaLiga2,CD Mirandés,0,TRUE,FALSE
Benik Afobe,Centre-Forward,29,2,England,Championship,Stoke City,England,Championship,Millwall FC,0,FALSE,FALSE
Mattia Valoti,Central Midfield,28,2,Italy,Serie B,SPAL,Italy,Serie A,AC Monza,0,FALSE,FALSE
Thiago Galhardo,Centre-Forward,32,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Fortaleza Esporte Clube,0,TRUE,FALSE
Salvi Sánchez,Right Winger,31,2,Spain,LaLiga,Cádiz CF,Spain,LaLiga,Rayo Vallecano,0,FALSE,FALSE
Mile Svilar,Goalkeeper,22,2,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AS Roma,0,FALSE,TRUE
Lovre Kalinic,Goalkeeper,32,2,England,Premier League,Aston Villa,Croatia,SuperSport HNL,HNK Hajduk Split,0,FALSE,FALSE
Andre Gray,Centre-Forward,31,2,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,0,FALSE,FALSE
Xavi Quintillà,Left-Back,25,2,Spain,LaLiga,Villarreal CF,Portugal,Liga Portugal,CD Santa Clara,0,FALSE,FALSE
Sidnei,Centre-Back,32,2,Brazil,Série A,Goiás Esporte Clube,Spain,LaLiga2,UD Las Palmas,0,FALSE,FALSE
Rafael Camacho,Right Winger,22,2,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Aris Thessaloniki,0,TRUE,FALSE
Francesco Vicari,Centre-Back,27,2,Italy,Serie B,SPAL,Italy,Serie B,SSC Bari,0,FALSE,FALSE
Arturo Vidal,Central Midfield,35,2,Italy,Serie A,Inter Milan,Brazil,Série A,Clube de Regatas do Flamengo,0,FALSE,FALSE
Robert Zulj,Attacking Midfield,30,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,Austria,Bundesliga,LASK,0,FALSE,FALSE
Auston Trusty,Centre-Back,23,2,England,Premier League,Arsenal FC,England,Championship,Birmingham City,0,TRUE,FALSE
Paolo Ghiglione,Right Midfield,25,2,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,0,FALSE,FALSE
Santiago Ormeño,Centre-Forward,28,2,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Guadalajara,0,TRUE,FALSE
Darío Sarmiento,Right Winger,19,2,England,Premier League 2,Manchester City U21,Uruguay,Primera División,Montevideo City Torque,0,TRUE,FALSE
Carlos Clerc,Left-Back,30,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,0,FALSE,FALSE
Roberto Massimo,Left Winger,21,2,Germany,Bundesliga,VfB Stuttgart,Portugal,Liga Sabseg,Académico Viseu FC,0,TRUE,FALSE
Will Smallbone,Central Midfield,22,2,England,Premier League,Southampton FC,England,Championship,Stoke City,0,TRUE,TRUE
Mailson,Goalkeeper,25,2,Brazil,Série B,Sport Club do Recife,Saudi Arabia,Professional League,Al-Taawoun FC,0,FALSE,FALSE
Jonathan Menéndez,Left Winger,28,2,United States,MLS,Real Salt Lake City,Argentina,Liga Profesional,CA Vélez Sarsfield,0,TRUE,FALSE
Samuele Mulattieri,Centre-Forward,21,2,Italy,Serie A,Inter Milan,Italy,Serie B,Frosinone Calcio,0,TRUE,FALSE
Álvaro Fernandez,Left-Back,19,2,England,Premier League,Manchester United,England,Championship,Preston North End,0,TRUE,FALSE
Abdulkadir Parmak,Central Midfield,27,2,Turkey,Süper Lig,Trabzonspor,Turkey,Süper Lig,Gaziantep FK,0,TRUE,FALSE
Gabriel Noga,Centre-Back,20,2,Brazil,Série A,Clube de Regatas do Flamengo,Brazil,Série B,Esporte Clube Bahia,0,TRUE,FALSE
Tomás Araújo,Centre-Back,20,2,Portugal,Liga Sabseg,SL Benfica B,Portugal,Liga Portugal,Gil Vicente FC,0,TRUE,FALSE
Maxime Leverbe,Centre-Back,25,2,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,UC Sampdoria,0,TRUE,TRUE
Mikael,Centre-Forward,23,2,Italy,Serie A,US Salernitana 1919,Brazil,Série A,Sport Club Internacional,0,TRUE,FALSE
Fabio Abreu,Centre-Forward,29,2,Saudi Arabia,Professional League,Al-Batin FC,United Arab Emirates,UAE Pro League,Khor Fakkan,0,FALSE,FALSE
Vicente Iborra,Defensive Midfield,34,2,Spain,LaLiga,Villarreal CF,Spain,LaLiga2,Levante UD,0,TRUE,FALSE
Florian Lejeune,Centre-Back,31,2,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,Rayo Vallecano,0,TRUE,FALSE
Daniel Maldini,Attacking Midfield,20,2,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,0,TRUE,TRUE
Rodrigo Riquelme,Right Winger,22,2,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Girona FC,0,TRUE,FALSE
Thuler,Centre-Back,23,2,Brazil,Série A,Clube de Regatas do Flamengo,Japan,J1 League,Vissel Kobe,0,TRUE,FALSE
Wilder Cartagena,Defensive Midfield,27,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,United States,MLS,Orlando City SC,0,TRUE,FALSE
Charlie Patino,Central Midfield,18,2,England,Premier League 2,Arsenal FC U21,England,Championship,Blackpool FC,0,TRUE,FALSE
Nicolò Cambiaghi,Left Winger,21,2,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,0,TRUE,FALSE
Matt Miazga,Centre-Back,27,2,England,Premier League,Chelsea FC,United States,MLS,FC Cincinnati,0,FALSE,FALSE
Luan,Attacking Midfield,29,2,Brazil,Série A,Sport Club Corinthians Paulista,Brazil,Série A,Santos FC,0,TRUE,FALSE
Yassine Meriah,Centre-Back,29,2,United Arab Emirates,UAE Pro League,Al-Ain FC,Tunisia,Ligue I Pro,Esperance Tunis,0,FALSE,FALSE
Omar Al-Somah,Centre-Forward,33,2,Saudi Arabia,Without League,Al-Ahli Saudi FC,Qatar,Stars League,Al-Arabi SC,0,TRUE,FALSE
Santiago Naveda,Defensive Midfield,21,2,Mexico,Liga MX Apertura,CF América,Poland,Ekstraklasa,Miedz Legnica,0,TRUE,FALSE
Pedro Rocha,Left Winger,27,2,Russia,Premier Liga,Spartak Moscow,Brazil,Série A,Fortaleza Esporte Clube,0,FALSE,FALSE
Philippe Sandler,Centre-Back,25,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,NEC Nijmegen,0,FALSE,FALSE
Federico Ricca,Left-Back,27,2,Belgium,Jupiler Pro League,Club Brugge KV,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0,FALSE,FALSE
Tariqe Fosu,Left Winger,26,2,England,Premier League,Brentford FC,England,Championship,Stoke City,0,TRUE,TRUE
Davide Bettella,Centre-Back,22,2,Italy,Serie A,AC Monza,Italy,Serie B,Palermo FC,0,TRUE,FALSE
Maximiliano Lovera,Left Winger,23,2,Greece,Super League 1,Olympiacos Piraeus,Greece,Super League 1,Ionikos Nikeas,0,TRUE,FALSE
Samuel Umtiti,Centre-Back,28,2,Spain,LaLiga,FC Barcelona,Italy,Serie A,US Lecce,0,TRUE,FALSE
Papa Ndiaga Yade,Left Winger,22,2,France,Ligue 2,FC Metz,France,Ligue 1,ESTAC Troyes,0,TRUE,FALSE
Steven Caulker,Centre-Back,30,2,Turkey,Süper Lig,Fenerbahce,Turkey,Süper Lig,Fatih Karagümrük,0,FALSE,FALSE
Anthony Kalik,Defensive Midfield,24,2,Croatia,SuperSport HNL,HNK Gorica,Croatia,SuperSport HNL,HNK Hajduk Split,0,FALSE,FALSE
Luís Oyama,Defensive Midfield,25,2,Brazil,Série A,Botafogo de Futebol e Regatas,Belgium,Challenger Pro League,RWD Molenbeek,0,TRUE,FALSE
Ian Poveda,Right Winger,22,2,England,Premier League,Leeds United,England,Championship,Blackpool FC,0,TRUE,FALSE
Youssouf Koné,Left-Back,27,2,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,0,TRUE,FALSE
Mateusz Zukowski,Right-Back,20,2,Scotland,Premiership,Rangers FC,Poland,Ekstraklasa,Lech Poznan,0,TRUE,FALSE
Filippo Melegoni,Central Midfield,23,2,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Standard Liège,0,TRUE,FALSE
Darko Velkovski,Centre-Back,27,2,Croatia,SuperSport HNL,HNK Rijeka,Saudi Arabia,Professional League,Ettifaq FC,0,FALSE,FALSE
Luca Zidane,Goalkeeper,24,2,Spain,LaLiga,Rayo Vallecano,Spain,LaLiga2,SD Eibar,0,FALSE,FALSE
Mateo Klimowicz,Attacking Midfield,22,2,Germany,Bundesliga,VfB Stuttgart,Germany,2. Bundesliga,Arminia Bielefeld,0,TRUE,TRUE
Ibrahim Amadou,Defensive Midfield,29,2,France,Ligue 2,FC Metz,France,Ligue 1,Angers SCO,0,FALSE,TRUE
Jean-Daniel Akpa Akpro,Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,0,TRUE,FALSE
Paulo Gazzaniga,Goalkeeper,30,2,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,0,TRUE,FALSE
Gianluca Frabotta,Left-Back,23,2,Italy,Serie A,US Lecce,Italy,Serie B,Frosinone Calcio,0,TRUE,FALSE
Bruno Amione,Centre-Back,20,2,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,0,TRUE,TRUE
Maxime Leverbe,Centre-Back,25,2,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,0,TRUE,FALSE
Rober González,Right Winger,21,2,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga2,Deportivo Alavés,0,TRUE,FALSE
Josh Koroma,Centre-Forward,23,2,England,Championship,Huddersfield Town,England,League One,Portsmouth FC,0,TRUE,FALSE
Josh Bowler,Right Winger,23,2,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,0,TRUE,FALSE
Pierre Dwomoh,Central Midfield,18,2,Belgium,Jupiler Pro League,Royal Antwerp FC,Portugal,Without League,SC Braga B,0,TRUE,FALSE
Mubarak Wakaso,Central Midfield,32,2,China,Super League,Shenzhen FC,Belgium,Jupiler Pro League,KAS Eupen,0,TRUE,FALSE
Jan Vertonghen,Centre-Back,35,2,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,RSC Anderlecht,0,FALSE,FALSE
Lautaro Blanco,Left-Back,23,1.5,Argentina,Liga Profesional,CA Rosario Central,Spain,LaLiga,Elche CF,1.96,FALSE,FALSE
Nilson Angulo,Centre-Forward,19,1.5,Ecuador,Serie A Segunda Etapa,LDU Quito,Belgium,Jupiler Pro League,RSC Anderlecht,1.9,FALSE,FALSE
Ilias Koutsoupias,Central Midfield,21,1.9,Italy,Serie C - B,Virtus Entella,Italy,Serie B,Benevento Calcio,0.75,TRUE,FALSE
Domagoj Vida,Centre-Back,33,1.9,Turkey,Süper Lig,Besiktas JK,Greece,Super League 1,AEK Athens,0,FALSE,FALSE
Luke McNally,Centre-Back,22,0,England,League One,Oxford United,England,Championship,Burnley FC,1.85,FALSE,FALSE
Mender García,Centre-Forward,23,0.5,Colombia,Liga DIMAYOR II,Once Caldas,United States,MLS,Minnesota United FC,1.82,FALSE,FALSE
Adalberto Carrasquilla,Central Midfield,23,1,Spain,LaLiga2,FC Cartagena,United States,MLS,Houston Dynamo FC,1.82,FALSE,FALSE
Shaq Moore,Right-Back,25,0.8,Spain,LaLiga2,CD Tenerife,United States,MLS,Nashville SC,1.82,FALSE,FALSE
Lovro Zvonarek,Attacking Midfield,17,1.5,Croatia,SuperSport HNL,Slaven Belupo Koprivnica,Germany,Regionalliga Bayern,FC Bayern Munich II,1.8,FALSE,FALSE
Aliou Badji,Centre-Forward,24,1.8,Egypt,Premier League,El Ahly Cairo,France,Ligue 2,Amiens SC,1.8,FALSE,FALSE
Nicolás Quagliata,Left Winger,23,0.8,Uruguay,Primera División,Montevideo Wanderers,Greece,Super League 1,PAOK Thessaloniki,1.8,FALSE,FALSE
Maksim Glushenkov,Centre-Forward,22,1.8,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Krylya Sovetov Samara,1.8,FALSE,FALSE
Guilherme Castilho,Central Midfield,22,1,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série A,Ceará Sporting Club,1.8,FALSE,FALSE
Bogdan Planic,Centre-Back,30,0.7,Israel,Ligat ha'Al,Maccabi Haifa,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,1.8,FALSE,FALSE
Pep Chavarría,Left-Back,24,0.8,Spain,LaLiga2,Real Zaragoza,Spain,LaLiga,Rayo Vallecano,1.8,FALSE,FALSE
Nonato,Central Midfield,24,1.8,Brazil,Série A,Sport Club Internacional,Bulgaria,efbet Liga,Ludogorets Razgrad,1.7,FALSE,FALSE
Frantzdy Pierrot,Centre-Forward,27,1.8,France,Ligue 2,EA Guingamp,Israel,Ligat ha'Al,Maccabi Haifa,1.6,FALSE,FALSE
Florian Krüger,Centre-Forward,23,1.8,Germany,2. Bundesliga,Arminia Bielefeld,Netherlands,Eredivisie,FC Groningen,1.3,FALSE,FALSE
César Falletti,Attacking Midfield,29,1.8,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Ternana Calcio,1.2,FALSE,FALSE
Vladislav Sarveli,Centre-Forward,24,1.8,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,FC Sochi,1.2,FALSE,FALSE
Marcos López,Left-Back,22,1.8,United States,MLS,San Jose Earthquakes,Netherlands,Eredivisie,Feyenoord Rotterdam,1.2,FALSE,FALSE
Yago Pikachu,Right Midfield,30,1.8,Brazil,Série A,Fortaleza Esporte Clube,Japan,J1 League,Shimizu S-Pulse,0.8,FALSE,FALSE
Johannes Eggestein,Centre-Forward,24,1.8,Belgium,Jupiler Pro League,Royal Antwerp FC,Germany,2. Bundesliga,FC St. Pauli,0.6,FALSE,TRUE
Nikola Soldo,Centre-Back,21,1.8,Croatia,SuperSport HNL,NK Lokomotiva Zagreb,Germany,Bundesliga,1. FC Köln,0.5,FALSE,TRUE
Rodrigues,Centre-Back,24,1.8,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,United States,MLS,San Jose Earthquakes,0.455,TRUE,FALSE
Joan Sastre,Right-Back,25,1.8,Spain,LaLiga,RCD Mallorca,Greece,Super League 1,PAOK Thessaloniki,0.4,FALSE,FALSE
Bartosz Nowak,Attacking Midfield,28,1.8,Poland,Ekstraklasa,Górnik Zabrze,Poland,Ekstraklasa,Rakow Czestochowa,0.4,FALSE,FALSE
Lukasz Poreba,Defensive Midfield,22,1.8,Poland,Ekstraklasa,Zaglebie Lubin,France,Ligue 1,RC Lens,0.35,FALSE,TRUE
Theocharis Tsingaras,Central Midfield,22,1.8,Greece,Super League 1,PAOK Thessaloniki,France,Ligue 1,FC Toulouse,0.3,TRUE,FALSE
Konstantinos Stafylidis,Left-Back,28,1.8,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,VfL Bochum,0.25,FALSE,TRUE
Aymen Barkok,Central Midfield,24,1.8,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,0,FALSE,FALSE
Ibrahim Sissoko,Centre-Forward,26,1.8,France,Ligue 2,Chamois Niortais FC,France,Ligue 2,FC Sochaux-Montbéliard,0,FALSE,FALSE
Arnaud Lusamba,Central Midfield,25,1.8,France,Ligue 2,Amiens SC,Turkey,Süper Lig,Alanyaspor,0,FALSE,FALSE
Tommy Smith,Right-Back,30,1.8,England,Championship,Stoke City,England,Championship,Middlesbrough FC,0,FALSE,TRUE
Max Besuschkow,Central Midfield,25,1.8,Germany,2. Bundesliga,SSV Jahn Regensburg,Germany,2. Bundesliga,Hannover 96,0,FALSE,TRUE
Louis Schaub,Attacking Midfield,27,1.8,Germany,Bundesliga,1. FC Köln,Germany,2. Bundesliga,Hannover 96,0,FALSE,TRUE
Dylan Louiserre,Defensive Midfield,27,1.8,France,Ligue 2,Chamois Niortais FC,France,Ligue 2,EA Guingamp,0,FALSE,FALSE
Linton Maina,Right Winger,23,1.8,Germany,2. Bundesliga,Hannover 96,Germany,Bundesliga,1. FC Köln,0,FALSE,TRUE
Fayçal Fajr,Central Midfield,33,1.8,Turkey,Süper Lig,Sivasspor,Saudi Arabia,Professional League,Al-Wehda FC,0,FALSE,FALSE
Andrés Mosquera,Centre-Back,32,1.8,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Toluca,0,FALSE,FALSE
Awer Mabil,Left Winger,26,1.8,Denmark,Superligaen,FC Midtjylland,Spain,LaLiga,Cádiz CF,0,FALSE,FALSE
Erik Thommy,Left Midfield,27,1.8,Germany,Bundesliga,VfB Stuttgart,United States,MLS,Sporting Kansas City,0,FALSE,FALSE
Kévin Rodrigues,Left-Back,28,1.8,Spain,LaLiga,Real Sociedad,Turkey,Süper Lig,Adana Demirspor,0,FALSE,FALSE
Tudor Baluta,Defensive Midfield,23,1.8,England,Premier League,Brighton & Hove Albion,Romania,SuperLiga,FCV Farul Constanta,0,FALSE,FALSE
Braian Samudio,Left Winger,26,1.8,Mexico,Liga MX Apertura,Deportivo Toluca,Paraguay,Primera División Clausura,Club Cerro Porteño,0,TRUE,FALSE
Tobias Figueiredo,Centre-Back,28,1.8,England,Premier League,Nottingham Forest,England,Championship,Hull City,0,FALSE,TRUE
Lazar Markovic,Right Winger,28,1.8,Serbia,Super liga Srbije,FK Partizan Belgrade,Turkey,Süper Lig,Gaziantep FK,0,FALSE,FALSE
Fatih Kurucuk,Centre-Back,24,1.8,Turkey,Süper Lig,Hatayspor,Turkey,1.Lig,Bandirmaspor,0,FALSE,FALSE
Nery Domínguez,Centre-Back,32,1.8,Argentina,Liga Profesional,Racing Club,Chile,Primera División,Club Universidad de Chile,0,FALSE,FALSE
Pape Cheikh,Central Midfield,24,1.8,France,Ligue 1,Olympique Lyon,Greece,Super League 1,Aris Thessaloniki,0,FALSE,FALSE
Badou Ndiaye,Central Midfield,31,1.8,Greece,Super League 1,Aris Thessaloniki,Turkey,Süper Lig,Adana Demirspor,0,FALSE,FALSE
Juraj Kucka,Central Midfield,35,1.8,Italy,Serie B,Parma Calcio 1913,Slovakia,Fortuna Liga,Slovan Bratislava,0,FALSE,FALSE
Carlens Arcus,Right-Back,26,1.8,France,Ligue 1,AJ Auxerre,Netherlands,Eredivisie,Vitesse Arnhem,0,FALSE,FALSE
Sikou Niakaté,Centre-Back,22,1.8,France,Ligue 2,EA Guingamp,Portugal,Liga Portugal,SC Braga,0,TRUE,TRUE
Sergio Escudero,Left-Back,32,1.8,Spain,LaLiga2,Granada CF,Spain,LaLiga,Real Valladolid CF,0,FALSE,FALSE
Maxime Gonalons,Defensive Midfield,33,1.8,Spain,LaLiga2,Granada CF,France,Ligue 1,Clermont Foot 63,0,FALSE,FALSE
Juan Cazares,Attacking Midfield,30,1.8,Ukraine,Premier Liga,Metalist Kharkiv,Argentina,Liga Profesional,Club Atlético Independiente,0,FALSE,FALSE
